Vil_Code,Scientific_Name_Cleaned,Scientific_Genus_GB,sell,use,food,medicine,Qty_p_HH,Qty,Forest,Riparian,bamboo,bush_fallow,upland_field,others,PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Name
207026,Russula rosacea,Mushroom/Funghi,1,0,1,0,3,186,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207026,Capparis acutifolia,Shrubs,0,0,1,0,10,480,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Narm  larn noi
207056,NA,,0,0,1,0,0.3,0.9,0,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,NA,,0,0,1,0,2,40,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,Anoectochilus lylei,Orchids,1,0,0,0,0.2,1,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,Piper sarmentosum,Vines,0,0,1,0,0.5,41,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,Aganonerion polymorphum,Herbs,0,0,1,0,0.3,9,1,1,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,Amomum villosum,Cardamom,1,0,0,0,50,4100,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,Protium serratum,Trees,0,0,1,0,1,10,0,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
207056,Dipterocarpus alatus,Trees,0,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phier lake
