Vil_Code,Vil_Name,Taxon,all,forest,riparian,bamboo,bushfallow,uplandfield,others,Contrl,perc_forest,perc_ripar,perc_bamb,perc_bushf,perc_uplf,perc_oth
609044,B. Thinhong,Orchids,2892,3,0,0,0,0,0,3,100,0,0,0,0,0
609044,B. Thinhong,Trees,2733,5,2,0,2,0,0,9,55.5555555555556,22.2222222222222,0,22.2222222222222,0,0
609044,B. Thinhong,Mushroom/Funghi,1409,5,2,0,2,0,0,9,55.5555555555556,22.2222222222222,0,22.2222222222222,0,0
609044,B. Thinhong,Bamboo,930,2,0,0,0,0,0,2,100,0,0,0,0,0
609044,B. Thinhong,Worms,682,0,0,1,0,0,1,2,0,0,50,0,0,50
609044,B. Thinhong,Tree/Shrub,496,2,1,0,1,0,0,4,50,25,0,25,0,0
609044,B. Thinhong,Hornet,402,0,0,0,6,0,0,6,0,0,0,100,0,0
609044,B. Thinhong,Grass,248,0,0,0,1,0,0,1,0,0,0,100,0,0
609044,B. Thinhong,Vines,132,2,0,0,0,0,1,3,66.6666666666667,0,0,0,0,33.3333333333333
609044,B. Thinhong,,124,0,1,0,0,0,0,1,0,100,0,0,0,0
609044,B. Thinhong,Palm,112,2,0,0,0,0,0,2,100,0,0,0,0,0
609044,B. Thinhong,Legume,62,1,0,0,0,0,0,1,100,0,0,0,0,0
609044,B. Thinhong,Shrubs,62,0,1,0,0,0,0,1,0,100,0,0,0,0
609044,B. Thinhong,Bees,60,2,0,0,0,0,0,2,100,0,0,0,0,0
609044,B. Thinhong,Herbs,10,1,0,0,0,0,0,1,100,0,0,0,0,0
609043,B. Houaykor,Bamboo,4970,5,0,2,0,0,0,7,71.4285714285714,0,28.5714285714286,0,0,0
609043,B. Houaykor,Trees,2500,6,0,0,4,0,1,11,54.5454545454545,0,0,36.3636363636364,0,9.09090909090909
609043,B. Houaykor,Mushroom/Funghi,1085,22,0,0,22,0,0,44,50,0,0,50,0,0
609043,B. Houaykor,Grass,1000,0,0,0,1,0,0,1,0,0,0,100,0,0
609043,B. Houaykor,Tree/Shrub,1000,5,0,0,4,0,0,9,55.5555555555556,0,0,44.4444444444444,0,0
609043,B. Houaykor,,0,5,1,0,5,0,0,11,45.4545454545455,9.09090909090909,0,45.4545454545455,0,0
609043,B. Houaykor,Cardamom,0,1,0,0,1,0,0,2,50,0,0,50,0,0
609043,B. Houaykor,Grape,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609043,B. Houaykor,Herbs,0,0,1,0,3,0,0,4,0,25,0,75,0,0
609043,B. Houaykor,Legume,0,2,0,0,2,0,0,4,50,0,0,50,0,0
609043,B. Houaykor,Orchids,0,6,0,0,6,0,0,12,50,0,0,50,0,0
609043,B. Houaykor,Palm,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609043,B. Houaykor,Peas,0,1,0,0,1,0,0,2,50,0,0,50,0,0
609043,B. Houaykor,Vines,0,5,0,0,5,0,0,10,50,0,0,50,0,0
609042,B. Phoulouangtai,Bamboo,2139,2,1,2,0,0,0,5,40,20,40,0,0,0
609042,B. Phoulouangtai,Tree/Shrub,1085,1,0,0,1,0,0,2,50,0,0,50,0,0
609042,B. Phoulouangtai,Cardamom,620,1,0,0,1,0,0,2,50,0,0,50,0,0
609042,B. Phoulouangtai,Mushroom/Funghi,496,2,0,0,1,0,1,4,50,0,0,25,0,25
609042,B. Phoulouangtai,Palm,465,0,0,0,0,0,1,1,0,0,0,0,0,100
609042,B. Phoulouangtai,Grass,310,0,0,0,1,0,0,1,0,0,0,100,0,0
609042,B. Phoulouangtai,,248,2,0,0,0,0,0,2,100,0,0,0,0,0
609042,B. Phoulouangtai,Herbs,186,1,0,0,0,1,1,3,33.3333333333333,0,0,0,33.3333333333333,33.3333333333333
609042,B. Phoulouangtai,Vines,171,4,0,0,0,0,0,4,100,0,0,0,0,0
609042,B. Phoulouangtai,Peas,48,0,0,0,0,0,1,1,0,0,0,0,0,100
