"","Vil_Code","PCODE","Pname","DCODE","Dname","KCODE","Kname","Vil_Name","SciName","Taxonomy","sell","use","food","medicine","CHECK","Qty_sell","Qty_use","Qty_food","Qty_med","Inc_sell","Inc_use","Inc_food","Inc_medicine","No_HH","Qty_p_HH","Qty","PPU_LAK","PPU_USD","Income_USD","Time_Travel","Status_en","Status_rel","Status_abs","Reason_en","Forest","Riparian","bamboo","bush_fallow","upland_field","others","CHECK_2","Qty_For","Qty_Rip","Qty_Bam","Qty_Bfa","Qty_UpF","Qty_Oth","Inc_For","Inc_Rip","Inc_Bam","Inc_Bfa","Inc_UpF","Inc_Oth","For_sell_inc","For_use_inc","For_food_inc","For_med_inc","Rip_sell_inc","Rip_use_inc","Rip_food_inc","Rip_med_inc","bam_sell_inc","Bam_use_inc","Bam_food_inc","Bam_med_inc","Bfa_sell_inc","Bfa_use_inc","Bfa_food_inc","Bfa_med_inc","UpF_sell_inc","UpF_use_inc","UpF_food_inc","UpF_med_inc","Oth_sell_inc","Oth_use_inc","Oth_food_inc","Oth_med_inc"
"943",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay","Colubrina sp.","Tree/Shrub",1,0,1,0,2,1230,0,1230,0,153.75,0,153.75,0,246,10,2460,1000,0.125,307.5,"30",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay",NA,"",1,0,1,0,2,1845,0,1845,0,230.625,0,230.625,0,246,15,3690,1000,0.125,461.25,"20",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay","Clitocybe odora","Mushroom/Funghi",1,0,1,0,2,1230,0,1230,0,1537.5,0,1537.5,0,246,10,2460,10000,1.25,3075,"20",NA,15,15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay",NA,"",1,0,1,0,2,1230,0,1230,0,153.75,0,153.75,0,246,10,2460,1000,0.125,307.5,"20",NA,15,15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"947",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay","Canarium pinnata","Tree",1,0,1,0,2,6150,0,6150,0,7687.5,0,7687.5,0,246,50,12300,10000,1.25,15375,"20",NA,50,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay","Commelina diffusa","Herb",1,0,1,0,2,1230,0,1230,0,153.75,0,153.75,0,246,10,2460,1000,0.125,307.5,"30",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay","Afgekia sp.","Shrub",1,0,1,0,2,24600,0,24600,0,46125,0,46125,0,246,200,49200,15000,1.875,92250,"30",NA,50,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay",NA,"",1,0,1,0,2,1230,0,1230,0,153.75,0,153.75,0,246,10,2460,1000,0.125,307.5,"30",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"951",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay","Lycopodium cernuum","Herb",1,0,1,0,2,4920,0,4920,0,615,0,615,0,246,40,9840,1000,0.125,1230,"20",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952",605047,6,"Louangphabang",605,"Nambak",60502,"Nagnang","B. Namay",NA,"",1,0,1,0,2,0,0,0,0,0,0,0,0,246,0,0,0,0,0,"10",NA,50,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
